task,entity,deadline,category,processed_task
He goes to college in the morning and comes back at 3 pm.,He,,Professional,go college morning come pm
He has to buy the snacks for all of us.,He,,Team,buy snack
Rahul should clean the room by 5 pm today.,Rahul,5 pm today,Professional,rahul clean room pm today
John needs to review the report by Friday.,John,Friday,Administrative,john need review report friday
Alice needs to finish her homework by 6 pm.,Alice,6 pm,Administrative,alice need finish homework pm
Bob is planning to go for a run tomorrow morning.,Bob,tomorrow,Team,bob plan go run tomorrow morning
The team should discuss the project updates in the meeting next week.,team,next week,Professional,team discuss project update meeting week
Sarah has to prepare the presentation for the meeting on Monday.,Sarah,for the meeting on Monday,Administrative,sarah prepare presentation meeting monday
Tom will submit the project report by the end of the week.,Tom,the end of the week,Administrative,tom submit project report end week
The group needs to finalize the budget by 3 pm tomorrow.,group,3 pm tomorrow,Team,group need finalize budget pm tomorrow
